plant_name,plant_code,unique_id,ba_id,nameplate
Zephyr Wind,60128,Zephyr Park1WT3.5,CISO,3.5
Zephyr Wind,60128,Zephyr Park1WT3.5,CISO,3.5
Zephyr Wind,60128,Zephyr Park1WT3.5,CISO,3.5
,50534,ZOND WINDSYSTEMS INC.1WT17.1,CISO,17.1
"Grady Wind Energy Center, LLC",X60317,XPattern Operators. LP1WT220,GRDY,220
"Grady Wind Energy Center, LLC",60317,Pattern Operators. LP1WT220,GRID,220
"Broadview Energy JN, LLC",60145,Pattern Operators. LP1WT182,GRID,182
"Broadview Energy KW, LLC",60152,Pattern Operators. LP1WT143,GRID,143
NaturEner Glacier Wind Energy 1,57049,Glacier Winds Energy One71WT106.5,GWA,106.5
NaturEner Glacier Wind Energy 2,57050,Glacier Winds Energy Two69WT103.5,GWA,103.5
Bennett Creek Windfarm LLC - Mountain Home,56637,Bennett Creek1WT21,IPCO,21
Benson Creek Windfarm (Burnt River),59491,Benson Creek Wind (OR)1WT10,IPCO,10
Burley Butte Windpark,56434,Burley Butte1WT21.3,IPCO,21.3
Camp Reed,57125,Camp Reed Wind1WT22.5,IPCO,22.5
Cassia Wind,56934,Cassia Wind Farm1WT10.5,IPCO,10.5
Cold Springs Windfarm,57431,Cold Springs Windfarm1WT23,IPCO,23
Desert Meadow Windfarm,57430,Desert Meadow Windfarm1WT23,IPCO,23
Durbin Creek Windfarm (Burnt River),59492,Durbin Creek Wind (OR)1WT10,IPCO,10
Elkhorn Valley Wind Farm,56623,Elkhorn Wind1WT100,IPCO,100
Fossil Gulch,56308,Fossil Gulch1WT10.5,IPCO,10.5
Golden Valley Wind Park LLC,56435,Golden Valley1WT12,IPCO,12
Hammett Hill Windfarm,57428,Hammett Hill Windfarm1WT23,IPCO,23
High Mesa,58019,High Mesa1WT40,IPCO,40
Mountain Home,56636,Hot Springs1WT21,IPCO,21
,,IRP Planned Generic New ResourceWT400,IPCO,400
,,IRP Planned Generic New ResourceWT300,IPCO,300
Jett Creek Windfarm (Burnt River),59490,Jett Creek Wind (OR)1WT10,IPCO,10
Lime Wind,57803,Lime Wind Energy1WT3,IPCO,3
Mainline Windfarm,57429,Mainline Windfarm1WT23,IPCO,23
Milner Dam Wind Park LLC,56437,Milner Dam1WT19.92,IPCO,19.92
Oregon Trail Wind Park,56439,Oregon Trails1WT13.5,IPCO,13.5
Payne's Ferry,57124,Paynes Ferry Wind Farm1WT21,IPCO,21
Pilgrim Stage Wind Park,56440,Pilgrim Stage1WT10.5,IPCO,10.5
Prospector Windfarm (Burnt River),59493,Prospector Wind (OR)1WT10,IPCO,10
Rockland Wind Farm,57766,Rockland44WT80,IPCO,80
Ryegrass Windfarm,57427,Ryegrass Windfarm1WT23,IPCO,23
Salmon Falls Wind Park,56441,Salmon Falls1WT22,IPCO,22
Sawtooth Wind Project,57749,Sawtooth Wind1WT22,IPCO,22
Thousand Springs Wind Park,56442,Thousand Springs1WT12,IPCO,12
Tuana Gulch Wind Park,56443,Tuana Gulch1WT10.5,IPCO,10.5
Tuana Springs,57136,Tuana Springs1WT35.7,IPCO,35.7
Two Ponds Windfarm,57444,Two Ponds Windfarm1WT23,IPCO,23
Willow Spring Windfarm (Burnt River),59494,Willow Spring Windfarm (OR)1WT10,IPCO,10
Yahoo Creek,57126,Yahoo Creek Wind Farm1WT21,IPCO,21
Milford Wind Corridor I LLC,57079,Milford Phase I Wind97WT185,LDWP,185
Milford Wind Corridor Stage II LLC,57107,Milford Phase II Wind68WT102,LDWP,102
Pine Tree Wind Power Project,56433,Pine Tree90WT135,LDWP,135
Red Cloud Wind LLC,X63981,XRed Cloud Wind124WT331,LDWP,331
,,Wind-Pine Canyon1WT120,LDWP,120
Spring Valley Wind Project,57192,Spring Valley 11WT149,NEVP,149
South Peak Wind,62939,South Peak Wind1WT86.9,NWMT,86.9
Big Timber Wind Farm,61155,Big Timber Wind1WT25,NWMT,25
Fairfield Wind,58966,Fairfield Wind1WT10,NWMT,10
Gordon Butte Wind LLC,57748,Gordon Butte Wind1WT9.59,NWMT,9.59
Greenfield Wind - MT,60486,Greenfield Wind1WT25,NWMT,25
Horseshoe Bend Wind Park,56591,Horseshoe Bend1WT9,NWMT,9
Horseshoe Bend Wind Park,56591,Horseshoe Bend6WT9,NWMT,9
Judith Gap Wind Energy Center,56377,Judith Gap90WT135,NWMT,135
,,Misc. Wind1WT5,NWMT,5
Musselshell Wind Project,57963,Musselshell Wind1WT10,NWMT,10
Musselshell Wind Project Two LLC,57965,Musselshell Wind Two1WT10,NWMT,10
Spion Kop Wind Farm,58218,Spion Kop Wind1WT40,NWMT,40
"Stillwater Wind, LLC",61858,Stillwater Wind1WT80,NWMT,80
Two Dot Wind Farm,59003,Two Dot Wind Farm1WT9.69,NWMT,9.69
Casper Wind Farm,57093,Casper WindCWGTWT17,PACE,17
Cedar Springs II,63915,"Cedar Springs Transmission, LLC (BTA)72WT198.88",PACE,198.88
Cedar Springs I,63914,Cedar Springs Wind / NextEra0WT200.1,PACE,200.1
Cedar Springs III,63916,"Cedar Springs Wind III, LLC/ NextEra0WT133.3",PACE,133.3
Dunlap,57299,Dunlap Ranch74WT129.5,PACE,129.5
Ekola Flats,62591,Ekola Flats Wind0WT250.9,PACE,250.9
Foote Creek I,55607,Foote Creek 168WT48,PACE,48
,55608,Foote Creek 23WT1.8,PACE,1.8
,55609,Foote Creek 333WT24.5,PACE,24.5
,55610,Foote Creek 428WT16.8,PACE,16.8
Glenrock,56841,Glenrock 158WT113.6,PACE,113.6
Glenrock,56841,Glenrock 320WT44.1,PACE,44.1
Goshen Phase II,57211,Goshn II/Jolly Hills83WT124.5,PACE,124.5
High Plains,57040,High Plains66WT115.5,PACE,115.5
,,Horse Butte Phase II1WT42.4,PACE,42.4
"Horse Butte Wind I, LLC",57890,Horse Butte Wind I1WT57.6,PACE,57.6
Latigo Wind Park,59965,Latigo Wind1WT60,PACE,60
McFadden Ridge,57039,McFadden Ridge19WT33.25,PACE,33.25
Meadow Creek Project Company,58106,Meadow Creek Project Company - Five Pine1WT39.9,PACE,39.9
Meadow Creek Project Company,58106,Meadow Creek Project Company - North Point1WT79.8,PACE,79.8
Mountain Wind Power LLC,56752,Mountain Wind I / Mountain Wind 129WT60.9,PACE,60.9
Mountain Wind Power II LLC,56753,Mountain Wind II / Mountain Wind 238WT79.8,PACE,79.8
"Pioneer Wind Park, LLC",60259,Pioneer Wind Park I LLC1WT80,PACE,80
TransAlta Wyoming Wind,56093,Pleasant Valley (TransAlta Wyoming Wind)80WT144,PACE,144
Power County Wind Park North,57761,Power County Wind Park North9WT22.5,PACE,22.5
Power County Wind Park South,57760,Power County Wind Park South9WT22.5,PACE,22.5
Pryor Mountain Wind,59757,Pryor Mountain Wind1-114WT239.8,PACE,239.8
Rock River I LLC,55740,Rock River I50WT49,PACE,49
Rolling Hills,56842,Rolling Hills66WT111,PACE,111
Seven Mile Hill,56843,Sevenmile Hill 148WT115.6,PACE,115.6
Seven Mile Hill,56843,Sevenmile Hill 213WT33.25,PACE,33.25
Spanish Fork Wind Park 2 LLC,56751,Spanish Fork Wind Park 29WT18.9,PACE,18.9
TB Flats,62516,TB Flats Wind I0WT307.5,PACE,307.5
TB Flats,62516,TB Flats Wind II0WT195.7,PACE,195.7
Campbell Hill Windpower,57090,Three Buttes Windpower / Campbell Hill66WT99,PACE,99
Tooele Army Depot(CSG),59817,Tooele Army Depot (Wind 1)1WT1.5,PACE,1.5
Tooele Army Depot(CSG),59817,Tooele Army Depot (Wind 2)2WT1.7,PACE,1.7
Top of the World Windpower Project,57327,Top of the World Wind LLC (Duke)110WT200.2,PACE,200.2
,,"Wind + Storage, Goshen0WT60.4",PACE,60.4
,,"Wind, GO0WT1039.6",PACE,1039.6
,,"Wind, Goshen0WT151",PACE,151
,,"Wind, UT0WT69.2",PACE,69.2
,,"Wind, WYAE #10WT600",PACE,600
,,"Wind, WYAE #20WT75",PACE,75
,,"Wind, WYAE #30WT109",PACE,109
,,"Wind, WYAE #40WT420",PACE,420
,,"Wind, WYAE #50WT80",PACE,80
,,"Wind, WYAE #60WT208",PACE,208
,,"Wind, WYAE #70WT173",PACE,173
,,"Wind, WYAE #80WT75",PACE,75
,,"Wind, WYAE #90WT180",PACE,180
,,"Wind, Wyoming East0WT1641",PACE,1641
,,"Wind, Wyoming East0WT489",PACE,489
,,"Wind, Wyoming East0WT49",PACE,49
,,"Wind, Wyoming East0WT43.4",PACE,43.4
Wolverine Creek,56301,Wolverine Creek43WT64.5,PACE,64.5
